number,short_description,kb_category,meta
KB0015047,Canvas - Courses Not On Dashboard,TAMUCT,"KCS, TAMUCT, TAMU Central Texas, Canvas, canvas courses, star icon in cavas, "
KB0016886,Software - JMP Installation,Windows Applications,"KCS, software installation, software_installation, JMP, JMP install, JMP_install, install_JMP, JMP installation, JMP_installation, statistics, statistics software, statistics_software"
KB0016885,TAMU GitHub Information,Web Applications,"KCS, Tanu Github, github, tamu github contact information, tamu github contact info, "
KB0014977,Windows 8 - Clean Installation,Windows 8 OS,"KCS, install windows 8, reinstall windows 8, windows media creation tool, create a bootable usb for windows, windows install, wipe and reinstall OS, "
KB0016876,Sapling - Error Loading Assignment,Web Applications,"KCS, Sapling, Sapling loading assignment, sapling assignment error, sapling adobe flash player, adobe flash on sapling, "
KB0016837,Howdy - Permanent Address Change,Howdy,"Student permanent address change, Student_permanent_address_change, permanent address change, permanent_address_change, Address, address change,"
KB0016838,Google Apps - Changing Google Classroom Role,Google Apps/Drive,"KCS, Google classroom, google_classroom, change role, change_role, instructor, change student to instructor, change_student_to_instructor, wrong role, wrong_role, incorrect role, incorrect_role"
KB0016834,Software - Acquiring Polymath Software,Software,"KCS, polymath, software, get, acquire, download, install, poly, math"
KB0016833,IMS Web Form Captcha Problem,Teaching and Classroom Technology,"KCS, ims, web, form, captcha, problem, issue, webpage, page, site, classroom, class, answer, not, correct, recaptcha, request, submit, instructional, media, services, "
KB0016830,Windows 10 on NVME,Counter,"KCS, nvme, ssd, windows, 10, installer, dell, laptop, computer, not, can't, unable, loading, showing, displaying, new, installed, "
KB0016829,Purchasing Multisim from Software Center,Windows Applications,"KCS, multism, software, center, purchasing, circuit, design, pro, windows, site, website, class, eligible, "
KB0014303,KCS Knowledge Base,Other Tech Support,"kcs, example, knowledge_centered_support, knowledge_centered_service"
KB0016766,WebAssign - Sent to Cengage Login,Web Applications,"KCS, external login, external_login, cengage, webassign, web assign, web_assign, cengage login, cengage_login, cengage account, cengage_account"
KB0016758,Duo - Change Phone Number,Duo,"KCS, duo, mobile, two, 2, factor, authentication, phone, number, change, new, switch, "
KB0016743,Printer Configuration of HP OfficeJet 8715,Printing,"KCS, printer_configuration, set up printer, set_up_printer, setting up printer, setting_up_printer, HP printer, HP_printer, Officejet, Office jet, office_jet"
KB0016733,Exporting Specific Fields in Qualtrics,Qualtrics,"KCS, qualtrics, survery, tamu, export, fields, exporting, data, responses, filter, response, filtering, specific, range, time, date, section, part, "
KB0016732,Erase USB Data,Counter,"KCS, erase, usb, data, hard, drive, disk, disc, format, partition, paritions, "
KB0016723,TAMUDirect - Could Not Validate Confirmation Code,TAMUDirect,"KCS, tamudirect, tamu, direct, validate, confirmation, code, email, message, subject, line, msgappr, +, +msgappr, "
KB0016704,Microsoft Surface Pro 2 Boot Loop,Windows 10 OS,"KCS, microsoft_surface, surface_pro_2, surface, microsoft, can't_boot, cannot_boot, unable to boot, unable_to_boot, windows, windows 10, bitlocker, recovery menu, recovery_menu, bit locker"
KB0017019,Delete TAMU Exchange Account - Termination,Exchange,"KCS_Retired, KCSv.2:6/18NoKCS"
KB0016660,Listserv Error - Newly-Renamed List,Listserv,"KCS, listserv, list_serv, list_serve, listserv error, unable_to_send listserv, renamed listserv, list serve, list serv, listserve rename, "
KB0016882,Software - Unable to Conncet to Matlab x2goclient,Software,"KCS, matlab x2go, x2goclient, x2go client, VOAL for x2go, matlab on VOAL, math matlab voal, "
KB0016698,Turn off Wireless on HP Printer,Resnet,"KCS, wireless, wifi, printer, hp, off, turn, disable, network, radio, "
KB0016769,Email - Listserv Disable Join Notifications,Listserv,"KCS, listserv disable join emails, prevent join emails, listserv new members, add members, listserv notification, block listserv, listserv email, new listserv"
KB0016770,Email - TAMUDirect Removal,TAMUDirect,"KCS, remove from TAMUDirect list, TAMUDirect list, TAMU Direct, remove member from list, remove from TAMUDirect. remove from list"
KB0016693,Listserv - User Unknown Error,Listserv,"KCS, listserv, user, unknown, error, emails, student, not, last, uin, message, "
KB0016692,Wrong Added Date TAMUDirect Google Group,TAMUDirect,"KCS, tamu, direct, tamudirect, group, google, wrong, incorrect, added, date, manager, groups, year, added, connected, "
KB0016687,Retaining Listserv Ownership when Retiring,Listserv,"KCS, tamu, listserv, retiring, staff, facultry, leaving, owner, ownership, retire, retired, list, retain, retaining, keep, "
KB0016740,TAMUDirect - Incorrect Add Date,TAMUDirect,"KCS, tamudirect add date, tamu direct add date, incorrect date on tamudirect, tamu direct, add date, incorrect date"
KB0016688,Workday - Legal Name Change,Staff Member,"KCS, workday, legal, name, change, "
KB0016666,Re-Enrolled Former Student Access to NetID,Former Student,"KCS, student, former, enrolled, acess, netid, reenrolled, re-enrolled, enroll, current, course, "
KB0016658,Remove Student Worker from Division of IT Slack,"Email, Calendar, and Collaboration","KCS, slack, remove, student, worker, division, tamu, a&m, it, take, away, "
KB0016735,OAL - Deskptop Files not Visible,OAL,"KCS, oal files missing, desktop files missing, no desktop icons, desktop icons, files not visible, icons not visible, desktop, oal"
KB0016680,Software - Symantec Login Error,"Data, Servers, and Storage","KCS, symantec endpoint, symantec, syantec login, symantec encryption,endpoint encryption, symantec incorrect authentication, cannot login to symantec, cant sign in on symantec"
KB0016677,Media - Roku with Philo does not show Channels,Audio/Visual Applications,"KCS, roku philo, philo loading, philo retrieving, roku channels, channels, roku ultra, roku activate, tamu.philo.edu, philo"
KB0016639,Email - SSNs Detected,Exchange,"KCS, SSN detected, proofpoint, flagged email, sensitive email, encrypted email, encryption, redacted, redaction"
KB0016600,Unable to Access Bush School Syncplicity ,Syncplicity,"KCS, unable, cannot, can't, cant, syncplicity, bush, school, "
KB0014945,Duo - Setting up Duo on an Older Android Phone,Android Applications,"KCS, DUO on old device, DUO not supported, phone does not support DUO app, Duo app, can't install DUO app, DUO help, security,2-factor,two factor, android,old"
KB0014639,MacOS - virus or popups,Malware,"KCS, virus_mac, malware_mac, infection_mac, apple_virus, mackeeper, maclocker, slow_mac, popup, popups, virus, apple, apple malware, malware, antimalware, how to remove virus, has_detected_malware, alert, has_detected_malware_on_your"
KB0016454,Unable to see Newly Created Listserv,Listserv,"KCS, listserv, created, create, new, recent, unable, cannot, cant, can't, see, "
KB0016421,Unable to Access External TrainTraq Assignment,Staff Member,"KCS, access, traintraq, assignment, external, student, intern, staff, faculty, new, recent, hire, hired, course, training, issue, issues, help, unable, cant, can't, cannot, not, able, unable, "
KB0016574,Add TAMUCT Student Email to Mobile Device,TAMUCT,"KCS, tamuct, student, email, mobile, device, iphone, android, add, outlook, mail, app, gmail, "
KB0016535,Microsoft Licensing Question,Software,"KCS, microsoft, licensing, questions, question, license, general, info, information, departmental, department, server, list, prices, software, order, office, "
KB0016568,File Types Blocked in Gmail,Gmail,"KCS, gmail, message, messages, email, mail, block, blocked, attachment, file, attach, type, types, reject, rejected, dont, don't, recipient, recipients, auto, automatically, "
KB0016323,Retrieve Diploma that is already paid for,General,"KCS, diploma, degree, pay, paid, never, received, not, did, graduation, graduate, duplicate, complete, retrieve, receive, "
KB0016423,Windows Group Policy Client Sign-In Error ,Windows Applications,"KCS, unable, cant, can't, sign, log, in, login, logon, log, on, computer, error, group, policy, client, service, failed, sign-in, access, denied, windows"
KB0016457,Tech List ,General,"KCS, tech, list, third, device, devices, purchase, admitted, student, new,"
KB0014876,Computer Repair,Other Tech Support,"KCS, CRS, warranties, warranty repair, HP, warranty services, CRS warranty services, "
KB0016448,Counter - Personal Meeting,Counter,"KCS, counter contact, meet with someone, appointement, OC, escort, talk with staff, talk, meeting, "
KB0014979,Remove Bootcamp Partition,macOSX,"KCS, removing bootcamp partition, bootcamp, macos, windows_on_mac, take windows off my mac, remove windows from mac, remove bootcamp, remove, bootcamp"
KB0016429,Biochemistry Stockroom Order Form Website Error ,Other Tech Support,"KCS, website, error, biochemistry, bio, stock, stockroom, order, form, special, this, site, can't, cannot, reached, message, err_time_out, wifi, wireless, "
KB0016403,TAMUDirect - Email Rejection,TAMUDirect,"KCS, email, tamu, direct, tamudirect, reject, rejection, continuously, continually, repeatedly, account, error, received, the recipients email provider has rejected your message, message, provider, recipient, "
KB0016413,TAMU Direct - Message was Denied,TAMUDirect,"KCS, message denied, tamudirect message error, tamudirect message failed to deliver, tamu driect message, tamu direct rejected, message rejected, tamudirect denied, tamu direct denied, tamu direct error"
KB0016355,Website - Filezilla Error for people.tamu.edu,VOAL,"KCS, filezilla error, people.tamu.edu error with filezilla, filezilla update, filezilla people.tamu.edu, filezilla STTP error, people.tamu.edu cannot connect, cannot connect to server, unexpected end-of-file, filezilla will not work, issue with filezilla, cannot edit people.tamu.edu, voal, filezilla, people.tamu.edu"
KB0016414,Hardware - Graphics Driver Freeze,Counter,"KCS, driver freezes, driver fails to install, graphics driver install, driver wont install, graphics driver stuck, computer freeze on install, install fail, graphics, driver"
KB0016404,Hardware - Laptop Fan Noise,Counter,"KCS, laptop making noise, fan sound, fan noise, spinning noise, laptop fan issue, fan issue, sound issue, sound problem, fan problem"
KB0016378,ServiceNow - 500 Error,General,"servicenow, service_now, 500 error, login error, cant login, "
KB0016389,Cannot Open Google Maps Link,General,"google maps, cant open maps, safari, macos, mac os, "
KB0016390,Labview - Math Script,Software,"Math Script RT Modules for Labview, lab view, "
KB0016259,Firewall - Configure TFTP ,Firewall,"KCS, firewall cpu, cpu 100, wait cpu firewall, access firewall, configure tftp, inbound and outbound"
KB0016334,Application - How To Run Bomgar On Ubuntu,Applications and Software,"KCS, bomgar on ubuntu, ubuntu bomgar issue, ubuntu chat application, bomgar, ubuntu"
KB0016347,Software -  Audio Troubleshooting,Audio/Visual Applications,"KCS, software audio not working, windows update audio, audio no output, audio after update, windows compatibility with audio, microphonem windows 1803"
KB0016354,Proofpoint - Insecure Connection,"Email, Calendar, and Collaboration","KCS, proofpoint insecure connection, proofpoint cannot advance, proofpoint cannot edit, proofpoint secure, proofpoint security warning, proofpoint can't proceed, proofpoint cannot move forward, proofpoint can't edit"
KB0016316,Acquire a TAMU Email/Domain for an Affiliated Student Organization,Other Tech Support,"KCS, inquiry, tamu, website, domain, email, tamu website domain, tamu website, tamu domain, @tamu.edu, @tamu, @, questions, get, acquire, affiliated, affiliate, student, organization, "
KB0016300,eCampus - Audio Files Error,eCampus,"PowerPoint Audio Files issue, cant play audio, microsoft powerpoint, power point, sound on, ppt"
KB0016294,Proofpoint - Address Blocked,Security,"Fwd: your access to the commlist has been blocked by Proofpoint, mail quarantine, proofpoint, proof point"
KB0016242,Domain - File Sharing,General,"setting up domain, file accessibility, Setting up a domain, "
KB0016296,Rename Listserv Lists,Listserv,"KCS, rename, listserv, list, lists, workday, "
KB0016293,Partial Duo Setup Error,Duo,"KCS, not, enrolled, prompt, authentication, not, finish, account, "
KB0016274,EndNote License Change from Mac to Windows,Software,"KCS, endnote, license, change, mac, windows, switch, transfer, "
KB0015213,Solidworks not Available,Software,"solidworks, solidworks not available, cannot download solidworks, solidworks download, software center, download solidworks, faculty, students, unable, unable to access solidworks, access, solidworks access"
KB0016256,Mailing List for Personal Use,Gmail,"KCS, mailing list, mail, list, email, personal, use, create mailing list for personal use, create a mailing list for personal use, group, distribution group, distribution, google, "
KB0016255,Storage Limit in Content Collection within eCampus,eCampus,"KCS, storage, limit, ecampus, content, collection, storage limit in content collection within ecampus, content collection, content, collection, "
KB0014728,Unable to view eCampus Grades,Other Tech Support,"eCampus, grades, eCampus_grades, viewing_grades, grade viewing issue, issues viewing my grade, unable to see my grades, grades flashing, flashing, white, flash, grades flash, unable to see grades, whited out grades, flashing grades, ecampus, my grades, grades, "
KB0016245,ALEKS Being Difficult,Teaching and Classroom Technology,"KCS, aleks, grammarly, difficult, answer, clear, type, assessment, does, not, "
KB0016208,Account - Cannot Access MSL with HSC Credentials,Staff Member,"KCS, access MSL with HSC, cannot log into Medical Science Library with HSC, HSC staff cannot log into MSL, MSL access, MSL log in"
KB0016209,Account - Cannot Log into Med Portal,Former Student,"KCS, cannot log in to med portal, cannot log into opsa website, cannot sign into opsa, can't log into portal, cannot access med portal, former student cant log in"
KB0016212,Telecommunications - Can't Update AnyConnect,Media and Telecommunications,"KCS, can't update anyconnect, anyconnect won't update, cant uninstall anyconnect, uninstall anyconnect, anyconnect update, cisco wont update, cisco wont uninstall"
KB0016213,Software - Integrate Office 365 to eCampus ,Office,"KCS, integrate Office 365 with ecampus, ecampus and office 365, office 365 cloud integration, integrate ecampus, integrate office"
KB0016215,Network - Library Database Connection Not Private,WiFi,"KCS, library website cannot connect, connection not private library, library database cannot be reached, library website connection, connection not private, cannot connect to library, tamu library online, online library"
KB0016229,Harddrive - HDD Space Error,Counter,"KCS, hard drive space error, space error, HDD issue, HDD, parition,drive letter, hard drive letter, hard drive partition, hard drive, drive, drive letter, space issue"
KB0016228,Email - Student No Longer Enrolled,Enrolled Student,"KCS, email no longer enrolled. not enrolled, not enrolled email, email saying not enrolled, email stating no enrollment, still attending, enroll, email, attending, attend"
KB0016204,TAMUG - Unable to Connect to Jellyfish Network,WiFi,"KCS, tamug jellyfish network, cannot connect to jellyfish, cant connect to jellyfish network, jellyfish network, cannot connect to wifi tamug, tamug wireless, cannot connect to tamug, tamug wifi, tamug network, jellyfish"
KB0016183,Listserv - Invalid Recipients ,Listserv,"KCS, invalid recipients on listserv, listserv recipient error, error sending recipients, error 550 listserv, listserv error, listserv"
KB0016187,Listserv - Cannot See List,Listserv,"KCS, listserv list not visible, cannot see list in listserv, unable to view list, listserv not showing, cant see listserv list, listserv"
KB0016199,Exchange - Request to Deactivate Email Account,Exchange,"KCS, deactivate email, deactivate exchange email, still receive exhange email, still receiving emails, stop email, deactivate inbox, disabled email account, disabled exchange account, no longer need email, close email account, close email"
KB0016186,Haven Training Unavailable,Howdy,"haven, everfi, sexual assualt training, howdy, training, new student training"
KB0016097,Library - Cannot Access PubMed,General,"cant access pubmed, msl, medsci, library, library resources, cant access library, "
KB0015582,eCampus - Video Upload Error,eCampus,"ecampus, video uplod, ecampus video, file size, ecampus size, video size limit"
KB0015278,eCampus - Shibboleth Error,eCampus,"Ecampus, Ecampus error, ecampus_error, Shibboleth, ecampus_shibboleth, ecampus shibboleth error, Ecampus_shibboleth_error,"
KB0015196,eCampus - My Grade Module Missing,eCampus,"ecampus, ecampus_grades, my_grades_module, ecampus_missing_grades, "
KB0015179,eCampus via Howdy Access,eCampus,"Ecampus_via_Howdy_on_mac, Ecampus via Howdy on mac, Ecampus access, external_credentials, ecampus login, ecampus_login"
KB0014927,eCampus - Action Bar Missing,eCampus,"KCS, action bar, ecampus, ta, grader, unable to add assessment, can't add assignment, can't add turnitin link, can't edit course, ecampus course, ecampus course roles"
KB0016177,Microsoft Word - Remove Cross References,Office,"office, word, microsoft, remove ross reference, how to remove cross reference, can i remove cross reference"
KB0016166,Office 2013 - Reinstall,Office,"office_2013, office_2013 for windows, windows, office download, microsoft office, download office, download word, powerpoint, word, excel, access, troubleshooting office, office not showing up, office reinstall, download link, office link, mac, macOS, office_2013 for mac"
KB0015511,Faculty - Cannot Login to Classroom Computer,NetID,"KCS, cannot login, computer, classroom, instructor"
KB0016037,NetID - Password Reset: No SSPR and Opted Out of Over the Phone Resets,NetID,"KCS, sspr, self, service, password, reset, opt, opted, out, over, the, phone, reset, resets, skype, facetime, "
KB0016158,Exchange - Update Email Routing Bush School,"Email, Calendar, and Collaboration",KCS
KB0016159,Analysis software for students,Software,"KCS, software, nvivo, atlasti, student, available, store, sell, analysis, "
KB0015690,Office 2016 Installation conflicting with previous Office 2010 installation,Office,"KCS, office 2016, conflict, previous, installation, office, "
KB0015688,Google Calendar - Sync Issue,Google Apps,"KCS, appointments, calendar, android, exchange, "
KB0015745,Can I change the HTML on bulkmail ,Bulkmail,"KCS, bulkmail, request, html, change"
KB0015748,Gmail - Setup on Thunderbird ,Gmail,"KCS, thunderbird, macbook. os x, macos, email, settings"
KB0015777,Microsoft Office - Purchased Incorrect Version,Software,"Office 2016, Microsoft Office, Wrong Purchase, Incorrect purchase, incorrect version, wrong version, Microsoft Office for Mac, Microsoft Office for Windows, "
KB0015853,Howdy LDA entry of Final Exam,Howdy,KCS
KB0015307,Using Outlook to send emails through Howdy class roster,"Email, Calendar, and Collaboration","howdy, send_emails, howdy_emails, class_roster, howdy_class, send_emails_through_Howdy"
KB0015855,eCampus - Error Loading Full Grade Center,eCampus,"KCS, grade center error, ecampus, eCampus, full_grade_center, Full_Grade_Center, Grade_Center, grade_center, error"
KB0015857,Submit Final Grades for TAMUCT,Learning Management System,"KCS, final_grades, TAMUCT, submit final grades, submit_final_grades, "
KB0015859,"G-Suite Account Disabled, Something Went Wrong Error in Exchange","Email, Calendar, and Collaboration","KCS, g suite account disabled, gsuite account disabled, something went wrong exchange, something went wrong error exchange, something_went_wrong, something_went_wrong_exchange, g_suite_account_disabled, this_account_has_been_disabled, this account has been disabled "
KB0016147,Microsoft Project 2016 Crashing Randomly ,Software,"KCS, microsoft, project, 2016, crashing, operation, keeps, always, "
KB0016153,Students not in Eagle Connect,Learning Management System,"KCS, eagle connect, students not in eagle connect, students not showing up in eagle connect, eagle connect not showing registered students,"
KB0016154,Matlab License Error 9,Software,"KCS, matlab license error 9, matlab license error, error 9 matlab, license error 9 matlab, error 9 matlab, matlab error 9, license error 9 windows, error 9 matlab windows"
KB0016142,New VOAL Access issues,VOAL,"KCS, voal, new, issues, trouble, cannot, connect, vmware, horizon, client, "
KB0016096,Cannot access Pubmed page on office computer,Web Applications,"KCS, pubmed, connection, not, private, medical, sciences, "
KB0016133,Google Scholar Error ,General,"Safari cannot open this page, accessing Google Scholar,  library, ez proxy, cant access google scholar, how to access google scholar, google scholar, tamu library"
KB0016116,Student-Based Mailing List Request,Listserv,"listserv request, requesting a list, how to create a list, tamudirect, listserv, "
KB0016103,Rename Listserv Lists,Listserv,"listserv, list, rename list, change the list name, edit the list name"
KB0016111,ISS Orientation Website Problem,"Access, Accounts, and ID","iss training, international student services, international training, orientation, training, iss training error, iss error"
KB0016105,Download PDF Error - Chrome,General,"save pdf, chrome, print page, network failed, pdf error, cant download pdf "
KB0016099,Scanner - Won't Install,Counter,"KCS, scanner, hdc, "
KB0016090,Official Notice - You Received an Email Containing Malware,Security,"You Received an Email Containing Malware, malicious email, suspicious email, malware email, security"
KB0016022,Proofpoint - Block Unsubscibed Email,"Email, Calendar, and Collaboration","KCS, block proofpoint email, block quarantined email, block SASE, unsubscribe SASE, unsubscribe from TAMU emails, unsubscribe from proofpoint email, block email, block unsubscribed emil"
KB0016084,Technical - Power Point Projector Screen,Other Tech Support,"KCS, change powerpoint projection, modify projector display, projector and screen, screen showing projector notes, projector not displaying"
KB0016076,eCampus - Multiple Document Submission,eCampus,"KCS, submit multiple documents on eCampus, eCampus file submission, submit files on eCampus, eCampus document upload, upload multiple eCampu files, upload multiple eCampus documents, submit file eCampus"
KB0016075,WiFi - Turn Off Wireless Ability on Router,WiFi,"KCS, urn off wifi on router, linksys router wifi, disable router wifi, disable router wireless, wireless router, wireless ability"
KB0016068,Canvas -  Unable to Upload Profile Picture ,TAMUCT,"KCS, canvas photo, can't upload photo on canvas, canvas image size, unable to upload picture, cant upload picture on canvas, picture won't upload on canvas"
KB0016067,Software - Uninstall Sophos,Software,"KCS, uninstall sophos, cannot uninstall sophos, sophos install error, can't remove sophos, unable to delete sophos, "
KB0016052,VOAL -  Secondary Authentication ,VOAL,"KCS, voal authentication, voal asking for authentication, voal duo, voal request"
KB0016039,Student Worker - Add Division of IT Drive Access,Student Worker,"KCS, DivIT drive access, Y:\Inventory, add drive access, add access to inventory, inventory drive, inventory access, new student drive access"
KB0016036,Hardware - MacBook Track Pad not Working,Hardware Repair,"KCS, track pad doesn't work , track pad isn't responding, soft click on track pad, click on mouse, mouse not responding, mouse click isn't working, track pad issue"
KB0016029,UIN - Not in System,Staff Member,"uin, not in system, not in ldap, cant claim netid, cant find uin, unable to locate uin, "
KB0016030,GitHub - Can't Connect,Applications and Software,"github, cannot connect, cant login, netid, "
KB0016033,Exchange - Delete Mass Emails,Exchange,"exchange, owa, mass emails, delete emails, how to delete a lot of emails, delete all emails, keep emails, "
KB0016015,Telecom - Old Office Phone,Telecom,KCS
KB0016014,Lost Access during Math Placement Exam,General,"math placement exam, mpe, ecampus, math, lost internet, cant login, loading"
KB0016007,Human Resources,Public Directory,"travel delegate, tamu, human resources, hr, "
KB0015992,Software - Office for Windows to Mac,Software,"KCS, transfer office, change office software, office software, office purchase, change software, operating system software, office software refund, refund software, windows office, mac office, windows to mac software"
KB0015977,Software - Trouble Installing Jmp,Software,"KCS, trouble jmp software, jmp software error, jmp issue, jmp unable to download"
KB0015969,Chrome - Video Does Not Show,Counter,"KCS, chrome browser video, balck video, no video on chrome, video chrome"
KB0015953,Add Email Alias to IT Resource Account,Professional IT Solutions,"email alias, it resource account, add alias to resource account, pro account, it accounts"
KB0015956,Network Drop Request,Resnet,"network drop, request, cable, installation, ethernet cable"
KB0015960,Voicemail - Call drops,Telecom,"voicemail, call drops, repair, telecom, telecommunications, work order"
KB0015962,NetID - Department Affiliation ,Student Worker,"NetID, department change, human resources student worker "
KB0015940,Listserv - Add Sublist,Listserv,"add sublist, listerv, lists, list, can I add a sublist, create a sublist, list management, "
KB0015937,Matlab - Licensing Error -39,Windows Applications,KCS
KB0015936,Trouble Accessing Appointments in SWAN,General,"swan, appointmentals, department, college, cant schedule in swan, advising appointment"
KB0015895,Unable to View Third Party Video ,Media and Telecommunications,"KCS, third party video, cannot view video, assigned video, third party website, professor video link"
KB0015907,Automatic Emails are not Received ,"Email, Calendar, and Collaboration","KCS, automatic emails not received, email not received, automatic email, sending email"
KB0015913,Change Moderator for ListServ,Listserv,"KCS, moderator for ListServ, change moderator, moderate listserv, listserv, moderator, moderate "
KB0015916,File a Student/Staff Complaint,General,"KCS, report a student, student complaint, third party coplaint, file a complaint "
KB0015922,Undergraduate Catalog,General,"KCS, TAMU Catalog, Undergrad Catalog, Undergraduate Catalog, 2017 catalog, 2018 catalog, archive catalog, archived catalogs, catalog"
KB0015926,Wireless Access Adapter ,WiFi,"KCS, wireless access adapter, rent an adapter, adapter for traveling, wireless adapter"
KB0015892,Google Apps - Open in Presentation Mode,Google Apps,"Google apps, Google slides, presentation mode, presentation link, "
KB0015882,email syncing ,Google Apps,"KCS, email, gmail, account, sync,"
KB0015886,Unable to add email address for TAMUDirect Moderator,TAMUDirect,"KCS, moderator, tamudirect, address, listserv"
KB0015888,File Stream Departmental Access Question,Google Apps,"KCS, file stream, departmental access, "
KB0015864,Setup syncplicity error,Syncplicity,"KCS, syncplicity, error, signup, setup, account"
KB0015850,Remove Device Password,"Access, Accounts, and ID","KCS, remove password, wipe password, reset computer password, reset device password, remove account password, remove account"
KB0015214,Alert: Access to the Texas A and M network has been disabled,Security,"network_disabled, malware, virus, antivirus, access_disabled, alert, access_to_the_texas_AandM_network_has_been_disabled, cant connect to internet, windows malware, mac malware,"
KB0015849,Conference Call Charges,Telecom,"800_number, conference call charges, how to schedule conference calls, telecom, telecommunications, conference call charges, accounts, "
KB0015847,Office 365 - Exchange Mailbox Access,Office,"office_365, exchange, exchange management, there_is_no_mailbox_set_up, office_365_planner, share_point_team, outlook_web_app, Unable to access Office 365 Apps, exchange online, office_apps"
KB0015842,People Website - FTP software,Web Applications,"how to use FTP software to set up personal website, using FTP software, people.tamu.edu, People website, Personal website, FTP, "
KB0014990,Bulkmail - Request Today,Bulkmail,"bulkmail, bulkmail_request_sent_today, expedited bulkmail, mass_email, campus_email, can I have it sent today,"
KB0015837,Using Wordpress to Create a Website,General,"KCS. wordpress, website wordpress, creating a website, create website wordpress, create wordpress, create website, website"
KB0015807,Virtual Reality Education,Teaching and Classroom Technology,"KCS, VR, virtual reality, virtual reality groups, virtual reality education, VR groups, VR education, "
KB0015827,eCampus Grade Change for a Student Error ,eCampus,"KCS, eCampus grade change, grade change error, invalid grade change, ecampus grade, "
KB0015828,Invalid IP Address when connecting to WiFi,WiFi,"KCS, unable to connect to wifi, cant connect to wifi, invalid IP address, invalid IP wifi, can't connect to wifi, ip issue, invalid ip"
KB0015831,Request for New Office Phone Cord,Media and Telecommunications,"KCS, phone cord, office phone cord, centrex phone cord, new phone wire, phone wire, office phone wire, cable"
KB0015818,Enrolled Student - Unable to log onto TrainTraq to do training course for Study Abroad,Enrolled Student,"KCS,train traq,pvamu,prairie view,training_courses,training, online_training, study_abroad"
KB0015815,Student Worker - Name change on Polycom phone,Student Worker,"KCS,comdial,voip,telecom,phone,work order,polycom,centrex,name_change,work phone,desk phone"
KB0015812,Directory - Available Minors,Public Directory,"KCS, tamu minors, degree, registrar, offered,minor"
KB0015756,Directory - Applicant Scholarship Inquiry?,Public Directory,"Applicant, Scholarship, Inquiry, scholarship inquiry, financial, aid"
KB0015785,macOSX - Cannot Connect to WiFi,macOSX,"KCS,Keychain,wifi,tamulink,tamulink_wpa,Malware,scan,safari,chrome,OSX,avast,"
KB0015789,Exchange - Add TamuCT Email to Outlook,Exchange,"KCS,tamuct,central texas,email,Outlook,Outlook_2016,employee,Exchange,password,setup,connect, something_went_wrong,Windows10,Win10,address"
KB0015782,Google Drive - Not Syncing on Mac,macOS Applications,"google_drive, google_apps, mac, macos, google drive not syncing on mac, mac and google apps, google drive folder on desktop, automatically sync, "
KB0015781,Windows - Purchase for new Device,Software,"Windows from Software Center on New PC, can windows upgrade be put on a new computer, is there a full version of windows, will the upgrade work on my computer, software, windows_10, windows upgrade, new installation, new computer"
KB0015773,Windows10 - MSI Laptop Camera Not Working ,Windows 10 OS,"KCS,MSI,camera,default,black screen,windows10,device_manager,"
KB0015774,Linux - Displaying Graphical Output on TAMU Linux/Unix Server,Linux,"KCS,SSH,Linux,Unix,graphic,print,output,server,terminal,computer_science,flag,display,mac,"
KB0015769,Bulkmail - Request with Delay,Bulkmail,"bulkmail, delay in sending, can a bulkmail have a delayed send out, irb response, bulkmail request, requesting delayed bulkmail, irb stamp"
KB0015768,Code Maroon - Unsubscribe,Media and Telecommunications,"Code maroon, Unsubscribe, Opt out of code maroon, opt out, "
KB0015763,Telecom - VOIP Work Order,Telecom,"telecom, Voip work order, Phone work order, voip phone, telecommunication,"
KB0015767,Windows 10 - Pin Login Issues,Windows 10 OS,"windows 10, pin login, Pin log in issues, Unable to login, Pin, password, face ID, face recognition"
KB0015070,Office 2016 - Disappeared from Computer,Windows Applications,"KCS, multiple_versions_of_office_on_device, office_disappeared, office_troubleshooting, microsoft_office, microsoft_office_not_showing_up, office, office_2016_suddenly_disappeared_from_windows_device, "
KB0015760,Rec - Locked Workstation,Public Directory,"Locked out of workstation, Rec workstation locked, Rec, locked workstation,"
KB0015754,Dual Boot - Reinstalling Windows,Operating Systems,"Dual boot. Reinstalling windows, dual boot windows reinstall, "
KB0015753,Aerospace - Share Folder Access,"Access, Accounts, and ID","Aerospace, Share Folder, shared folder access, Folder Access, "
KB0015732,Bulkmail - Submit a Bulkmail Request ,Bulkmail,"KCS. bulkmail, request, hold, "
KB0015720,Data Recovery - Time Machine Backups MacOS to Windows Using HFSExplorer,Counter,"KCS. hfsexplorer, macos, os x, fail, mac, windows, "
KB0015737,Gmail - EAP Access,Gmail,"gmail, eap access, early adopter program, enable eap on gmail, "
KB0015749,TAMUDirect - Stop Receiving Emails,TAMUDirect,"tamudirect, tamu direct, mass emails, email lists, want to stop receiving emails, stop getting emails, unsubscribe from lists, can i stop seeing tamu direct emails, email after retiring"
KB0015719,Bulkmail - Distributions,Bulkmail,"bulkmail, bulkmail distributions, bulkmail lists, bulkmail employees, part 02 employees, college station campus, "
KB0015726,Software - Solidworks for Mac,Software,"Solidworks, software refund, windows, mac, solidworks for mac, macOS, need solidworks for mac, solidworks on apple, how to install solidworks on mac, where is solidworks for mac"
